date,team,player,value,player_team,cum_sum
2022-08-06,Tottenham,Dejan Kulusevski,1,dejankulusevski_tottenham,1.0
2022-08-06,Leeds United,Jack Harrison,1,jackharrison_leedsunited,1.0
2022-08-07,Leicester City,James Maddison,1,jamesmaddison_leicestercity,1.0
2022-08-07,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,1.0
2022-08-13,Manchester City,Erling Haaland,1,erlinghaaland_manchestercity,1.0
2022-08-13,Arsenal,Granit Xhaka,1,granitxhaka_arsenal,1.0
2022-08-13,Leeds United,Jack Harrison,1,jackharrison_leedsunited,2.0
2022-08-13,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,2.0
2022-08-14,Tottenham,Ivan Perisic,1,ivanperisic_tottenham,1.0
2022-08-20,Arsenal,Granit Xhaka,1,granitxhaka_arsenal,2.0
2022-08-20,Tottenham,Ivan Perisic,1,ivanperisic_tottenham,2.0
2022-08-21,Leeds United,Jack Harrison,1,jackharrison_leedsunited,3.0
2022-08-21,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,3.0
2022-08-21,Brighton,Pascal Gross,1,pascalgross_brighton,1.0
2022-08-27,Liverpool,Andrew Robertson,1,andrewrobertson_liverpool,1.0
2022-08-27,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,1.0
2022-08-28,Tottenham,Dejan Kulusevski,1,dejankulusevski_tottenham,2.0
2022-08-30,Everton,Alex Iwobi,1,alexiwobi_everton,1.0
2022-08-31,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,2.0
2022-08-31,Liverpool,Mohamed Salah,2,mohamedsalah_liverpool,2.0
2022-09-03,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,1.0
2022-09-03,Aston Villa,Jacob Ramsey,1,jacobramsey_astonvilla,1.0
2022-09-03,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,4.0
2022-09-03,Nott'ham Forest,Morgan Gibbs-White,1,morgangibbswhite_notthamforest,1.0
2022-09-04,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,1.0
2022-09-04,Manchester Utd,Christian Eriksen,1,christianeriksen_manchesterutd,1.0
2022-09-04,Brighton,Pascal Gross,1,pascalgross_brighton,2.0
2022-09-17,Tottenham,Dejan Kulusevski,1,dejankulusevski_tottenham,3.0
2022-09-17,Tottenham,Ivan Perisic,1,ivanperisic_tottenham,3.0
2022-09-17,Manchester City,Kevin De Bruyne,2,kevindebruyne_manchestercity,6.0
2022-09-18,Everton,Alex Iwobi,1,alexiwobi_everton,2.0
2022-09-18,Arsenal,Bukayo Saka,2,bukayosaka_arsenal,4.0
2022-09-18,Arsenal,Granit Xhaka,1,granitxhaka_arsenal,3.0
2022-10-01,Everton,Alex Iwobi,1,alexiwobi_everton,3.0
2022-10-01,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,3.0
2022-10-01,Brighton,Solly March,1,sollymarch_brighton,1.0
2022-10-02,Manchester Utd,Christian Eriksen,1,christianeriksen_manchesterutd,2.0
2022-10-02,Manchester City,Erling Haaland,2,erlinghaaland_manchestercity,3.0
2022-10-02,Manchester City,Kevin De Bruyne,2,kevindebruyne_manchestercity,8.0
2022-10-03,Leicester City,James Maddison,1,jamesmaddison_leicestercity,2.0
2022-10-08,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,2.0
2022-10-08,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,9.0
2022-10-08,Newcastle Utd,Kieran Trippier,1,kierantrippier_newcastleutd,1.0
2022-10-09,Arsenal,Martin Odegaard,1,martinodegaard_arsenal,1.0
2022-10-09,Crystal Palace,Michael Olise,1,michaelolise_crystalpalace,1.0
2022-10-10,Nott'ham Forest,Morgan Gibbs-White,1,morgangibbswhite_notthamforest,2.0
2022-10-15,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,3.0
2022-10-16,Arsenal,Martin Odegaard,1,martinodegaard_arsenal,2.0
2022-10-18,Crystal Palace,Michael Olise,1,michaelolise_crystalpalace,2.0
2022-10-22,Everton,Alex Iwobi,2,alexiwobi_everton,5.0
2022-10-22,Brighton,Solly March,1,sollymarch_brighton,2.0
2022-10-29,Liverpool,Andrew Robertson,1,andrewrobertson_liverpool,2.0
2022-10-29,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,1.0
2022-10-29,Tottenham,Ivan Perisic,1,ivanperisic_tottenham,4.0
2022-10-29,Newcastle Utd,Kieran Trippier,1,kierantrippier_newcastleutd,2.0
2022-10-30,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,5.0
2022-10-30,Manchester Utd,Christian Eriksen,1,christianeriksen_manchesterutd,3.0
