date,player_team,player,team,goals,rank
2024-08-16,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,1.0
2024-08-16,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,0.0,2.0
2024-08-16,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,3.0
2024-08-16,adamarmstrong_southampton,Adam Armstrong,Southampton,0.0,4.0
2024-08-16,adamatraore_fulham,Adama Traore,Fulham,0.0,5.0
2024-08-16,alexiwobi_fulham,Alex Iwobi,Fulham,0.0,6.0
2024-08-16,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,0.0,7.0
2024-08-16,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,8.0
2024-08-16,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,0.0,9.0
2024-08-16,amadouonana_astonvilla,Amadou Onana,Aston Villa,0.0,10.0
2024-08-16,andreaspereira_fulham,Andreas Pereira,Fulham,0.0,11.0
2024-08-16,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,12.0
2024-08-16,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,0.0,13.0
2024-08-16,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,0.0,14.0
2024-08-16,ashleyyoung_everton,Ashley Young,Everton,0.0,15.0
2024-08-16,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,16.0
2024-08-16,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,17.0
2024-08-16,beto_everton,Beto,Everton,0.0,18.0
2024-08-16,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,19.0
2024-08-16,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,20.0
2024-08-16,brennanjohnson_tottenham,Brennan Johnson,Tottenham,0.0,21.0
2024-08-16,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,0.0,22.0
2024-08-16,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,23.0
2024-08-16,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,0.0,24.0
2024-08-16,bukayosaka_arsenal,Bukayo Saka,Arsenal,0.0,25.0
2024-08-16,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,0.0,26.0
2024-08-16,cameronarcher_southampton,Cameron Archer,Southampton,0.0,27.0
2024-08-16,carlosbaleba_brighton,Carlos Baleba,Brighton,0.0,28.0
2024-08-16,casemiro_manchesterutd,Casemiro,Manchester Utd,0.0,29.0
2024-08-16,chriswood_notthamforest,Chris Wood,Nott'ham Forest,0.0,30.0
2024-08-16,colepalmer_chelsea,Cole Palmer,Chelsea,0.0,34.0
2024-08-16,cristianromero_tottenham,Cristian Romero,Tottenham,0.0,36.0
2024-08-16,dannywelbeck_brighton,Danny Welbeck,Brighton,0.0,42.0
2024-08-16,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,0.0,47.0
2024-08-16,diogojota_liverpool,Diogo Jota,Liverpool,0.0,48.0
2024-08-16,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,0.0,49.0
2024-08-16,dominicsolanke_tottenham,Dominic Solanke,Tottenham,0.0,50.0
2024-08-16,dwightmcneil_everton,Dwight McNeil,Everton,0.0,52.0
2024-08-16,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,0.0,55.0
2024-08-16,erlinghaaland_manchestercity,Erling Haaland,Manchester City,0.0,58.0
2024-08-16,evanilson_bournemouth,Evanilson,Bournemouth,0.0,62.0
2024-08-16,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,0.0,66.0
2024-08-16,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,0.0,70.0
2024-08-16,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,0.0,71.0
2024-08-16,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,0.0,76.0
2024-08-16,jamesjustin_leicestercity,James Justin,Leicester City,0.0,85.0
2024-08-16,jamesmaddison_tottenham,James Maddison,Tottenham,0.0,86.0
2024-08-16,jamievardy_leicestercity,Jamie Vardy,Leicester City,0.0,87.0
2024-08-16,jarrodbowen_westham,Jarrod Bowen,West Ham,0.0,88.0
2024-08-16,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,0.0,89.0
2024-08-16,jhonduran_astonvilla,Jhon Duran,Aston Villa,0.0,92.0
2024-08-16,joaofelix_chelsea,Joao Felix,Chelsea,0.0,93.0
2024-08-16,joaopedro_brighton,Joao Pedro,Brighton,0.0,95.0
2024-08-16,joelinton_newcastleutd,Joelinton,Newcastle Utd,0.0,97.0
2024-08-16,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,0.0,100.0
2024-08-16,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,0.0,104.0
2024-08-16,kaihavertz_arsenal,Kai Havertz,Arsenal,0.0,105.0
2024-08-16,kaorumitoma_brighton,Kaoru Mitoma,Brighton,0.0,106.0
2024-08-16,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,0.0,107.0
2024-08-16,leandrotrossard_arsenal,Leandro Trossard,Arsenal,0.0,109.0
2024-08-16,liamdelap_ipswichtown,Liam Delap,Ipswich Town,0.0,112.0
2024-08-16,lucaspaqueta_westham,Lucas Paqueta,West Ham,0.0,113.0
2024-08-16,luisdiaz_liverpool,Luis Diaz,Liverpool,0.0,114.0
2024-08-16,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,0.0,115.0
2024-08-16,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,0.0,118.0
2024-08-16,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,0.0,122.0
2024-08-16,matheuscunha_wolves,Matheus Cunha,Wolves,0.0,124.0
2024-08-16,matswieffer_brighton,Mats Wieffer,Brighton,0.0,125.0
2024-08-16,mohamedsalah_liverpool,Mohamed Salah,Liverpool,0.0,136.0
2024-08-16,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,0.0,139.0
2024-08-16,morganrogers_astonvilla,Morgan Rogers,Aston Villa,0.0,140.0
2024-08-16,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,0.0,144.0
2024-08-16,nonimadueke_chelsea,Noni Madueke,Chelsea,0.0,146.0
2024-08-16,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,0.0,148.0
2024-08-16,pedroporro_tottenham,Pedro Porro,Tottenham,0.0,155.0
2024-08-16,rauljimenez_fulham,Raul Jimenez,Fulham,0.0,159.0
2024-08-16,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,0.0,160.0
2024-08-16,simonadingra_brighton,Simon Adingra,Brighton,0.0,173.0
2024-08-16,sonheungmin_tottenham,Son Heung-min,Tottenham,0.0,174.0
2024-08-16,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,0.0,175.0
2024-08-16,yankubaminteh_brighton,Yankuba Minteh,Brighton,0.0,188.0
2024-08-16,yoanewissa_brentford,Yoane Wissa,Brentford,0.0,189.0
2024-08-17,bukayosaka_arsenal,Bukayo Saka,Arsenal,1.0,1.0
2024-08-17,dannywelbeck_brighton,Danny Welbeck,Brighton,1.0,2.0
2024-08-17,kaihavertz_arsenal,Kai Havertz,Arsenal,1.0,3.0
2024-08-17,mohamedsalah_liverpool,Mohamed Salah,Liverpool,1.0,4.0
2024-08-17,amadouonana_astonvilla,Amadou Onana,Aston Villa,1.0,5.0
2024-08-17,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,1.0,6.0
2024-08-17,chriswood_notthamforest,Chris Wood,Nott'ham Forest,1.0,7.0
