Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeTeamRank,HomeTeamPosition,HomeTeamCumPts,AwayTeamRank,AwayTeamPosition,AwayTeamCumPts
2025-09-29,Everton,West Ham,1,1,9.0,9,8.0,19.0,19,4.0
2025-09-28,Newcastle,Arsenal,1,2,15.0,15,6.0,2.0,2,13.0
2025-09-28,Aston Villa,Fulham,3,1,16.0,16,6.0,10.0,10,8.0
2025-09-27,Leeds,Bournemouth,2,2,11.0,11,8.0,5.0,5,11.0
2025-09-27,Brentford,Man United,3,1,13.0,13,7.0,14.0,14,7.0
2025-09-27,Chelsea,Brighton,1,3,8.0,8,8.0,10.0,10,8.0
2025-09-27,Crystal Palace,Liverpool,2,1,2.0,2,12.0,1.0,1,15.0
2025-09-27,Man City,Burnley,5,1,6.0,6,10.0,17.0,17,4.0
2025-09-27,Nottm Forest,Sunderland,0,1,16.0,16,5.0,4.0,4,11.0
2025-09-27,Tottenham,Wolves,1,1,3.0,3,11.0,20.0,20,1.0
2025-09-21,Arsenal,Man City,1,1,2.0,2,10.0,9.0,9,7.0
2025-09-21,Sunderland,Aston Villa,1,1,7.0,7,8.0,18.0,18,3.0
2025-09-21,Bournemouth,Newcastle,0,0,4.0,4,10.0,13.0,13,6.0
2025-09-20,West Ham,Crystal Palace,1,2,18.0,18,3.0,4.0,4,9.0
2025-09-20,Liverpool,Everton,2,1,1.0,1,15.0,9.0,9,7.0
2025-09-20,Brighton,Tottenham,2,2,14.0,14,5.0,2.0,2,10.0
2025-09-20,Burnley,Nottm Forest,1,1,16.0,16,4.0,15.0,15,5.0
2025-09-20,Fulham,Brentford,3,1,7.0,7,8.0,17.0,17,4.0
2025-09-20,Wolves,Leeds,1,3,20.0,20,0.0,11.0,11,7.0
2025-09-20,Man United,Chelsea,2,1,10.0,10,7.0,6.0,6,8.0
2025-09-14,Man City,Man United,3,0,8.0,8,6.0,14.0,14,4.0
2025-09-14,Burnley,Liverpool,0,1,17.0,17,3.0,1.0,1,12.0
2025-09-13,Bournemouth,Brighton,2,1,4.0,4,9.0,13.0,13,4.0
2025-09-13,Brentford,Chelsea,2,2,12.0,12,4.0,5.0,5,8.0
2025-09-13,West Ham,Tottenham,0,3,18.0,18,3.0,2.0,2,9.0
2025-09-13,Newcastle,Wolves,1,0,9.0,9,5.0,20.0,20,0.0
2025-09-13,Fulham,Leeds,1,0,10.0,10,5.0,15.0,15,4.0
2025-09-13,Everton,Aston Villa,0,0,6.0,6,7.0,19.0,19,2.0
2025-09-13,Crystal Palace,Sunderland,0,0,8.0,8,6.0,6.0,7,7.0
2025-09-13,Arsenal,Nottm Forest,3,0,1.0,1,9.0,14.0,14,4.0
2025-08-31,Liverpool,Arsenal,1,0,1.0,1,9.0,3.0,3,6.0
2025-08-31,Nottm Forest,West Ham,0,3,10.0,10,4.0,16.0,16,3.0
2025-08-31,Brighton,Man City,2,1,11.0,11,4.0,13.0,13,3.0
2025-08-31,Aston Villa,Crystal Palace,0,3,19.0,19,1.0,8.0,8,5.0
2025-08-30,Sunderland,Brentford,2,1,5.0,6,6.0,13.0,13,3.0
2025-08-30,Leeds,Newcastle,0,0,10.0,10,4.0,15.0,15,2.0
2025-08-30,Wolves,Everton,2,3,19.0,19,0.0,5.0,5,6.0
2025-08-30,Tottenham,Bournemouth,0,1,3.0,3,6.0,7.0,7,6.0
2025-08-30,Man United,Burnley,3,2,9.0,9,4.0,12.0,12,3.0
2025-08-30,Chelsea,Fulham,2,0,1.0,1,7.0,16.0,16,2.0
2025-08-25,Newcastle,Liverpool,2,3,15.0,15,1.0,3.0,3,6.0
2025-08-24,Crystal Palace,Nottm Forest,1,1,14.0,14,2.0,4.0,4,4.0
2025-08-24,Everton,Brighton,2,0,8.0,8,3.0,18.0,18,1.0
2025-08-24,Fulham,Man United,1,1,13.0,13,2.0,16.0,16,1.0
2025-08-23,Man City,Tottenham,0,2,4.0,5,3.0,2.0,2,6.0
2025-08-23,Brentford,Aston Villa,1,0,9.0,9,3.0,16.0,16,1.0
2025-08-23,Bournemouth,Wolves,1,0,8.0,8,3.0,19.0,19,0.0
2025-08-23,Arsenal,Leeds,5,0,1.0,1,6.0,11.0,11,3.0
2025-08-23,Burnley,Sunderland,2,0,9.0,10,3.0,7.0,7,3.0
2025-08-22,West Ham,Chelsea,1,5,20.0,20,0.0,1.0,1,4.0
2025-08-18,Leeds,Everton,1,0,6.0,7,3.0,14.0,14,0.0
2025-08-17,Man United,Arsenal,0,1,15.0,15,0.0,6.0,6,3.0
2025-08-17,Nottm Forest,Brentford,3,1,5.0,5,3.0,17.0,17,0.0
2025-08-17,Chelsea,Crystal Palace,0,0,9.0,10,1.0,9.0,11,1.0
2025-08-16,Sunderland,West Ham,3,0,2.0,2,3.0,18.0,19,0.0
2025-08-16,Brighton,Fulham,1,1,5.0,5,1.0,5.0,6,1.0
2025-08-16,Aston Villa,Newcastle,0,0,7.0,7,1.0,7.0,8,1.0
2025-08-16,Tottenham,Burnley,3,0,2.0,3,3.0,18.0,18,0.0
2025-08-16,Wolves,Man City,0,4,20.0,20,0.0,1.0,1,3.0
2025-08-15,Liverpool,Bournemouth,4,2,1.0,1,3.0,20.0,20,0.0
