Team,CumPts,AvgGF,AvgGA,rank,HPts,AvgHGF,AvgHGA,APts,AvgAGF,AvgAGA,season
Liverpool,36,2.066666666666667,0.8666666666666667,1,19,1.875,0.625,17,2.2857142857142856,1.1428571428571428,2024_2025
Chelsea,34,2.3125,1.1875,2,15,1.75,1.125,19,2.875,1.25,2024_2025
Arsenal,30,1.8125,0.9375,3,18,2.125,0.75,12,1.5,1.125,2024_2025
Nottm Forest,28,1.3125,1.1875,4,14,1.25,0.875,14,1.375,1.5,2024_2025
Man City,27,1.75,1.4375,5,16,2.0,1.5,11,1.5,1.375,2024_2025
Aston Villa,25,1.5,1.5625,6,15,1.625,1.125,10,1.375,2.0,2024_2025
Bournemouth,24,1.5333333333333334,1.3333333333333333,7,13,1.4285714285714286,0.8571428571428571,11,1.625,1.75,2024_2025
Fulham,24,1.5,1.375,8,14,1.75,1.625,10,1.25,1.125,2024_2025
Brighton,24,1.625,1.5625,9,13,1.625,1.5,11,1.625,1.625,2024_2025
Tottenham,23,2.25,1.1875,10,13,2.5,1.375,10,2.0,1.0,2024_2025
Brentford,23,2.0,1.875,11,22,3.25,1.75,1,0.75,2.0,2024_2025
Newcastle,23,1.4375,1.3125,12,14,1.5,1.0,9,1.375,1.625,2024_2025
Man United,22,1.3125,1.1875,13,13,1.625,1.375,9,1.0,1.0,2024_2025
West Ham,18,1.3333333333333333,1.8666666666666667,14,10,1.5,2.0,8,1.1428571428571428,1.7142857142857142,2024_2025
Crystal Palace,16,1.0625,1.3125,15,7,0.75,1.25,9,1.375,1.375,2024_2025
Everton,15,0.9333333333333333,1.4,16,9,1.2857142857142858,1.1428571428571428,6,0.625,1.625,2024_2025
Leicester,14,1.3125,2.125,17,9,1.375,1.5,5,1.25,2.75,2024_2025
Ipswich,12,1.0,1.75,18,4,0.75,1.5,8,1.25,2.0,2024_2025
Wolves,9,1.5,2.5,19,4,1.5,2.5,5,1.5,2.5,2024_2025
Southampton,5,0.6875,2.25,20,4,0.875,2.625,1,0.5,1.875,2024_2025
Man City,91,2.526315789473684,0.8947368421052632,1,47,2.6842105263157894,0.8421052631578947,44,2.3684210526315788,0.9473684210526315,2023_2024
Arsenal,89,2.3947368421052633,0.7631578947368421,2,47,2.526315789473684,0.8421052631578947,42,2.263157894736842,0.6842105263157895,2023_2024
Liverpool,82,2.263157894736842,1.0789473684210527,3,48,2.5789473684210527,0.8947368421052632,34,1.9473684210526316,1.263157894736842,2023_2024
Aston Villa,68,2.0,1.605263157894737,4,40,2.526315789473684,1.4736842105263157,28,1.4736842105263157,1.736842105263158,2023_2024
Tottenham,66,1.9473684210526316,1.605263157894737,5,39,2.0,1.4210526315789473,27,1.894736842105263,1.7894736842105263,2023_2024
Chelsea,63,2.026315789473684,1.6578947368421053,6,37,2.3157894736842106,1.368421052631579,26,1.736842105263158,1.9473684210526316,2023_2024
Newcastle,60,2.236842105263158,1.631578947368421,7,40,2.5789473684210527,1.1578947368421053,20,1.894736842105263,2.1052631578947367,2023_2024
Man United,60,1.5,1.5263157894736843,8,33,1.631578947368421,1.4736842105263157,27,1.368421052631579,1.5789473684210527,2023_2024
West Ham,52,1.5789473684210527,1.9473684210526316,9,29,1.631578947368421,1.4736842105263157,23,1.5263157894736843,2.4210526315789473,2023_2024
Crystal Palace,49,1.5,1.5263157894736843,10,28,1.9473684210526316,1.368421052631579,21,1.0526315789473684,1.6842105263157894,2023_2024
Brighton,48,1.4473684210526316,1.631578947368421,11,30,1.5789473684210527,1.4210526315789473,18,1.3157894736842106,1.8421052631578947,2023_2024
Bournemouth,48,1.4210526315789473,1.763157894736842,12,27,1.4210526315789473,1.4736842105263157,21,1.4210526315789473,2.0526315789473686,2023_2024
Fulham,47,1.4473684210526316,1.605263157894737,13,29,1.631578947368421,1.263157894736842,18,1.263157894736842,1.9473684210526316,2023_2024
Wolves,46,1.3157894736842106,1.7105263157894737,14,27,1.368421052631579,1.5789473684210527,19,1.263157894736842,1.8421052631578947,2023_2024
Everton,40,1.0526315789473684,1.3421052631578947,15,28,1.1578947368421053,0.9473684210526315,20,0.9473684210526315,1.736842105263158,2023_2024
